epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,646.118,0.39749,0.7396,0.34096,0.9658,0.98213,0.94972,0.9907,0.90468,0.96929,0.93506,0.98281,0.85626,0.44045,0.92871,0.37103,1.01073,0.0013367,0.0013367,0.0013367
69,655.604,0.39203,0.73522,0.33184,0.96773,0.96593,0.97037,0.98924,0.89397,0.95359,0.96402,0.97642,0.84824,0.40187,0.87912,0.32871,0.98675,0.0013268,0.0013268,0.0013268
70,665.086,0.39257,0.7672,0.33952,0.96709,0.95847,0.95802,0.98124,0.86925,0.95889,0.96049,0.97457,0.81418,0.46638,0.97566,0.36603,1.04334,0.0013169,0.0013169,0.0013169
71,674.553,0.38358,0.76418,0.33363,0.96753,0.94955,0.97584,0.98927,0.8951,0.95394,0.95309,0.98345,0.85077,0.42252,0.91168,0.35426,0.99628,0.001307,0.001307,0.001307
72,684.014,0.38819,0.76383,0.33366,0.96692,0.9723,0.9679,0.98958,0.90673,0.96486,0.96049,0.98444,0.85997,0.40707,0.84008,0.32415,0.97164,0.0012971,0.0012971,0.0012971
73,693.488,0.38531,0.73433,0.32111,0.96577,0.97275,0.96945,0.99207,0.90371,0.96628,0.96049,0.98679,0.86087,0.3971,0.84582,0.30753,0.95928,0.0012872,0.0012872,0.0012872
74,702.959,0.38843,0.76445,0.32228,0.96725,0.98257,0.97435,0.99365,0.91473,0.98008,0.97188,0.99341,0.88183,0.38045,0.73892,0.30236,0.95006,0.0012773,0.0012773,0.0012773
75,712.408,0.38681,0.75003,0.31285,0.95933,0.96198,0.97778,0.99187,0.89069,0.97877,0.95556,0.98197,0.8478,0.44716,0.86281,0.34444,1.01542,0.0012674,0.0012674,0.0012674
76,721.9,0.38949,0.70542,0.32801,0.96345,0.968,0.97097,0.99057,0.89937,0.96931,0.96543,0.98894,0.87045,0.40827,0.74304,0.33318,1.00035,0.0012575,0.0012575,0.0012575
77,731.358,0.38398,0.72336,0.31791,0.96288,0.96119,0.98272,0.99239,0.89966,0.97501,0.96325,0.99153,0.8502,0.43662,0.83458,0.33734,1.01863,0.0012476,0.0012476,0.0012476
78,740.825,0.38116,0.70411,0.32142,0.96104,0.9512,0.96251,0.98399,0.88573,0.96097,0.94568,0.98166,0.85129,0.45015,0.83784,0.36654,1.04601,0.0012377,0.0012377,0.0012377
79,750.326,0.37824,0.7214,0.3231,0.96259,0.97207,0.94513,0.98845,0.89018,0.94487,0.97336,0.98848,0.8639,0.44,0.79195,0.32251,1.00771,0.0012278,0.0012278,0.0012278
80,759.779,0.38139,0.72087,0.32831,0.96125,0.98152,0.97037,0.99346,0.90273,0.97153,0.96049,0.9874,0.86091,0.41267,0.78624,0.30823,0.98199,0.0012179,0.0012179,0.0012179
81,769.259,0.38043,0.71011,0.31987,0.95655,0.97215,0.95556,0.99116,0.88479,0.96964,0.95309,0.99004,0.85471,0.46214,0.76487,0.36248,1.02984,0.001208,0.001208,0.001208
82,778.735,0.3774,0.70318,0.31436,0.95434,0.98077,0.9679,0.99114,0.91688,0.97925,0.96296,0.98246,0.87501,0.41728,0.75856,0.33559,0.96944,0.0011981,0.0011981,0.0011981
83,788.218,0.38603,0.69561,0.31429,0.96418,0.97042,0.97199,0.99237,0.901,0.98677,0.95556,0.98408,0.86585,0.4507,0.83601,0.31154,1.02761,0.0011882,0.0011882,0.0011882
84,797.71,0.36601,0.67936,0.30303,0.94913,0.97447,0.97037,0.98855,0.89298,0.97268,0.96688,0.98461,0.85482,0.41183,0.81446,0.3136,0.97985,0.0011783,0.0011783,0.0011783
85,807.19,0.36202,0.68114,0.31784,0.94698,0.97273,0.9688,0.98591,0.90259,0.96034,0.95649,0.96698,0.85356,0.42709,0.87199,0.32847,1.00888,0.0011684,0.0011684,0.0011684
86,816.675,0.36497,0.71403,0.31302,0.95094,0.98461,0.97037,0.99291,0.91376,0.97695,0.96296,0.98565,0.87185,0.39337,0.81162,0.29494,0.97021,0.0011585,0.0011585,0.0011585
87,826.161,0.3581,0.68629,0.29932,0.95045,0.97459,0.98272,0.99013,0.90211,0.96966,0.97778,0.98308,0.86671,0.4238,0.78978,0.34072,1.00315,0.0011486,0.0011486,0.0011486
88,835.617,0.35519,0.69353,0.29759,0.94964,0.9825,0.97032,0.99324,0.91101,0.98758,0.98025,0.99403,0.87292,0.36937,0.70727,0.3068,0.94203,0.0011387,0.0011387,0.0011387
89,845.079,0.34728,0.65926,0.29979,0.94071,0.98608,0.97284,0.989,0.88557,0.97744,0.95802,0.97651,0.84847,0.46208,0.93867,0.32328,1.04595,0.0011288,0.0011288,0.0011288
90,854.563,0.35227,0.65684,0.30172,0.94419,0.98522,0.97778,0.99418,0.91092,0.97776,0.97037,0.99099,0.87552,0.38408,0.76396,0.27205,0.95315,0.0011189,0.0011189,0.0011189
91,864.03,0.36383,0.71304,0.30988,0.954,0.97498,0.96209,0.99049,0.90133,0.96747,0.95468,0.98701,0.86676,0.44417,0.77097,0.33178,1.01403,0.001109,0.001109,0.001109
92,873.462,0.36009,0.70778,0.31728,0.95124,0.98246,0.96821,0.98581,0.8996,0.97745,0.96334,0.98293,0.86137,0.42405,0.90118,0.31214,0.99594,0.0010991,0.0010991,0.0010991
93,882.906,0.35749,0.66813,0.2994,0.95614,0.98495,0.98025,0.9917,0.90554,0.97751,0.97284,0.98783,0.86244,0.40243,0.81554,0.30481,0.99514,0.0010892,0.0010892,0.0010892
94,892.366,0.35603,0.67388,0.29767,0.94888,0.96603,0.96543,0.98904,0.91256,0.95847,0.96877,0.98449,0.8862,0.38791,0.68339,0.30504,0.95939,0.0010793,0.0010793,0.0010793
95,901.838,0.35154,0.63451,0.29797,0.94347,0.97982,0.97531,0.99276,0.91647,0.98254,0.97778,0.99355,0.88246,0.3719,0.74655,0.28167,0.95903,0.0010694,0.0010694,0.0010694
96,911.32,0.34597,0.66143,0.28853,0.93401,0.96577,0.98765,0.99333,0.91819,0.96336,0.98519,0.993,0.87381,0.37588,0.73047,0.27817,0.95317,0.0010595,0.0010595,0.0010595
97,920.802,0.35114,0.66147,0.29583,0.94833,0.96804,0.97232,0.99077,0.91621,0.97506,0.96516,0.98406,0.88292,0.38223,0.69609,0.29521,0.94538,0.0010496,0.0010496,0.0010496
98,930.298,0.34958,0.64571,0.29761,0.9405,0.986,0.98025,0.99428,0.91116,0.97602,0.97037,0.98678,0.87171,0.40329,0.78599,0.28682,0.98468,0.0010397,0.0010397,0.0010397
99,939.765,0.34587,0.6471,0.28267,0.93923,0.97426,0.98519,0.99336,0.92836,0.97426,0.98519,0.99288,0.88822,0.36048,0.72987,0.26815,0.93916,0.0010298,0.0010298,0.0010298
100,949.253,0.35246,0.63711,0.28611,0.94238,0.96834,0.98186,0.99203,0.91584,0.97071,0.98205,0.99195,0.88662,0.38749,0.75275,0.29337,0.95836,0.0010199,0.0010199,0.0010199
101,958.719,0.35085,0.65273,0.28618,0.94305,0.99134,0.97037,0.99371,0.92634,0.99245,0.9732,0.99316,0.88863,0.35512,0.69428,0.26411,0.92442,0.00101,0.00101,0.00101
